structId,sortId,name,description,area,category,skill,tier,tierName,completionPercent,skills,wikiNotes
,82,Pet a Caique,Pet a Caique near the statue of Ates in Kastori or in the north of the Tlati Rainforest.,,,,1,Easy,34.5,,
,83,Pet Renu,Pet Renu.,,,,1,Easy,79.5,,
,84,Pet Xolo in Civitas,Pet Xolo in Civitas illa Fortis.,,,,1,Easy,72.6,,
,85,Pick some Sweetcorn from a Field,Pick some Sweetcorn from a Field.,,,,1,Easy,73.2,,
,86,Salute next to a statue of Quoatlos,Salute next to a statue of Quoatlos.,,,,1,Easy,67.5,,
,87,Scatter some Ashes in Yama's lair,Scatter some Ashes in Yama's lair.,,,,1,Easy,33.1,,
,88,Shear an Alpaca,Shear an Alpaca.,,,,1,Easy,59.7,,
,89,Sit near a stolen cabbage,Sit near a stolen cabbage.,,,,1,Easy,64,,
,90,Step onto an Ent trail,Step onto an Ent trail.,,,,1,Easy,65.5,,
,91,Talk to a Gladiator,Talk to a Gladiator.,,,,1,Easy,65.7,,
,92,Travel in Achilka's boat,Travel in Achilka's boat at one of her destinations along the River Varla.,,,,1,Easy,42.7,,
,93,Travel to Aldarin via Fairy ring,Travel to Aldarin via Fairy ring.,,,,1,Easy,61.6,,
,94,Travel using the Quetzal Transport System,Travel using the Quetzal Transport System.,,,,1,Easy,85.5,,
,95,Inspect a green flame,"Inspect a Green flame, near the Salvager Overlook.",,,,1,Easy,6.4,,
,96,Admire some beautiful scenery,Admire some beautiful scenery in Auburnvale or the Auburn Valley.,,,,1,Easy,57.2,,
,97,Bow near a quetzal,Bow near a quetzal.,,,,1,Easy,77.5,,
,98,Charter a Ship From Sunset Coast to Civitas,Take a Charter Ship from Sunset Coast to Civitas illa Fortis.,,,,1,Easy,43.2,,500 coins
,99,Cry near a child,Cry near a child.,,,,1,Easy,77.4,,
,100,Dance near a bard,Dance near a bard.,,,,1,Easy,52.2,,
,101,Drink a cup of tea in auburn valley,Drink a cup of tea in the Nemus Retreat or the Auburn Valley. NOTE: Drinking in Auburnvale does NOT complete this task.,,,,1,Easy,32.7,,
,102,Drink from a bird bath,Drink from a bird bath.,,,,1,Easy,71.8,,
,103,Drink some moon-lite,Drink some moon-lite.,,,,1,Easy,61.4,,
,104,Exit civitas via the secret passage,Exit Civitas illa Fortis via the secret passage.,,,,1,Easy,23.5,,
,105,Fill a bucket with sand at the Sunset coast,Fill a bucket with sand at the Sunset coast.,,,,1,Easy,48.5,,
,106,Fill something up from a water pump,Fill something up from a water pump.,,,,1,Easy,70.2,,
,107,Complete the Vale totems miniquest,Complete the Vale Totems miniquest.,,,,1,Easy,32.2,FLETCHING 20,20 Fletching
,108,Mine some Coal from Stonecutter Outpost,Mine some coal from Stonecutter Outpost.,,,,1,Easy,28.9,MINING 30,30 Mining
,109,Trim your beard in Cam torum,Trim your beard in Cam Torum.,,,,1,Easy,31.5,,
,110,Chop a tree in the Tlati Rainforest,Chop a tree in the Tlati Rainforest.,,,,1,Easy,49.4,,
,111,Defeat a Snake in Karamja,Defeat a Snake in Karamja.,,,,1,Easy,10,,
,112,Receive an Agility Arena Ticket,Receive an Agility Arena Ticket from the Brimhaven Agility Arena.,,,,1,Easy,9.8,,
,113,Pick a Pineapple on Karamja,Pick a Pineapple on Karamja.,,,,1,Easy,8.8,,
,114,Fill a Crate With Bananas,Fill a crate with Bananas for Luthas at Musa Point.,,,,1,Easy,9.4,,
,115,Catch a Karambwanji,Catch a Karambwanji on Karamja.,,,,1,Easy,6.2,FISHING 5,5 Fishing
,116,Defeat a Port Sarim prisoner,Defeat a port sarim prisoner.,,,,1,Easy,41.7,,
,117,Defeat a Troll in Asgarnia,Defeat a troll in Asgarnia. This task earns one Demonic Pact.,,,,1,Easy,47.9,,
,118,Defeat a Black Knight in Asgarnia,Defeat a Black Knight in Asgarnia.,,,,1,Easy,39.6,,
,119,Complete a Game of Novice Pest Control,Complete a game of Novice   Pest Control or higher.,,,,1,Easy,NaN,,40 Combat level
,120,Talk to the Mysterious Old Man in Falador,Talk to the Mysterious Old Man in Falador.,,,,1,Easy,35.4,,
,121,Use the Falador Party room,Deposit an item into the Falador Party room chest.,,,,1,Easy,39.6,,
,122,Balance 5 barrels on your head,Balance 5 barrels on your head in the Warriors' Guild.,,,,1,Easy,NaN,ATTACK 99; STRENGTH 99,99 Attack or  99 Strength or a combined Attack and Strength level of 130
,123,Become a mushroom,Have Malignius Mortifer turn you into a mushroom.,,,,1,Easy,33.3,,
,124,Enter the Taverley Dungeon,Enter the Taverley Dungeon.,,,,1,Easy,35.4,,
,125,Give Thurgo a redberry pie,Give Thurgo a redberry pie.,,,,1,Easy,NaN,COOKING 10,"10 Cooking, or  Wilderness✓ Partial completion of   The Knight's Sword"
,126,Craft an Air Rune,Craft an Air Rune from Essence at the Air Altar.,,,,1,Easy,6.2,,
,127,Set a Mummy ablaze,Set a mummy on fire with fire spells or fire arrows. This task earns one Demonic Pact.,,,,1,Easy,45.7,MAGIC 13,13 Magic or  Tirannwn✓ for access to oily cloth
,128,Defeat a Billy Goat,Defeat a Billy Goat.,,,,1,Easy,42.9,,
,129,Defeat an Al Kharid Warrior,Defeat an Al Kharid warrior.,,,,1,Easy,60,,
,130,Defeat Tempoross 1 time,Help the Spirit Anglers defeat Tempoross.,,,,1,Easy,25.7,FISHING 35,35 Fishing
,131,Pick a Winter Sq'irk,Pick a Winter Sq'irk in the Sorceress's Garden.,,,,1,Easy,14.3,,
,132,Room 1 of Pyramid Plunder,Search the Golden Chest in Room 1 of Pyramid Plunder in Sophanem.,,,,1,Easy,28.6,THIEVING 21,21 Thieving
,133,Room 2 of Pyramid Plunder,Search the Golden Chest in Room 2 of Pyramid Plunder in Sophanem.,,,,1,Easy,34.3,THIEVING 31,31 Thieving
,134,Room 3 of Pyramid Plunder,Search the Golden Chest in Room 3 of Pyramid Plunder in Sophanem.,,,,1,Easy,34.3,THIEVING 41,41 Thieving
,135,Pick up a cabbage in the Citharede Abbey,Pick up a Cabbage in the Citharede Abbey.,,,,1,Easy,31.4,,
,136,Take a Carpet Ride from Pollnivneach to Sophanem,Take a carpet ride from Pollnivneach to Sophanem.,,,,1,Easy,37.1,,
,137,Use the Bank in Nardah,Use the Bank in Nardah.,,,,1,Easy,31.4,,
,138,Cut a Cactus in the Kharidian Desert,Cut a cactus in the Kharidian Desert.,,,,1,Easy,34.3,,
,139,Drink some of Ali's tea,Drink a cup of tea in Ali the Tea Seller's house.,,,,1,Easy,8.6,,
,140,Catch a Salmon,Catch a Salmon in the Desert.,,,,1,Easy,5.7,FISHING 30,30 Fishing Partial completion of   Spirits of the Elid
,141,Complete the Al Kharid Agility Course,Complete a lap of the Al Kharid Rooftop Agility Course.,,,,1,Easy,48.6,AGILITY 20,20 Agility
,142,Craft a Fire Rune,Craft a Fire Rune from Essence at the Fire Altar.,,,,1,Easy,2.9,RUNECRAFT 14,14 Runecraft
,143,Defeat a Rooster,Defeat a Rooster in the Fremennik Province.,,,,1,Easy,100,,
,144,Defeat a Yak,Defeat a yak.,,,,1,Easy,100,,
,145,Defeat a Cockatrice in the Fremennik Province,Defeat a cockatrice in the Fremennik Province. This task earns one Demonic Pact.,,,,1,Easy,50,SLAYER 25,25 Slayer
,146,Defeat a Pyrefiend in the Fremennik Province,Defeat a Pyrefiend in the Fremennik Province.,,,,1,Easy,NaN,SLAYER 30,30 Slayer
,147,Defeat a Rock Crab in the Fremennik Province,Defeat a Rock Crab in the Fremennik Province.,,,,1,Easy,50,,
,148,Pick up Snapegrass,Pick up Snapegrass from Lunar Isle.,,,,1,Easy,50,,
,149,Use the Bank on Jatizso,Use the Bank on Jatizso.,,,,1,Easy,100,,
,150,Use the Bank on Lunar Isle,Use the Bank on Lunar Isle.,,,,1,Easy,50,,
,151,Use the Bank on Neitiznot,Use the Bank on Neitiznot.,,,,1,Easy,100,,
,152,Deposit an Item Using Peer the Seer,Deposit an item into your Bank using Peer the Seer.,,,,1,Easy,NaN,,Completion of the   Easy Fremennik Diary
,153,Switch to the Lunar Spellbook,Switch to the Lunar Spellbook.,,,,1,Easy,50,,
,154,Catch a Cerulean Twitch,Catch a Cerulean Twitch.,,,,1,Easy,50,HUNTER 11,11 Hunter
,155,Catch a Polar Kebbit,Catch a Polar Kebbit.,,,,1,Easy,50,,
,156,Chop down an arctic pine tree,Chop down an arctic pine tree.,,,,1,Easy,50,WOODCUTTING 54,54 Woodcutting
,157,Cut the Swaying Tree,Cut the Swaying Tree.,,,,1,Easy,50,WOODCUTTING 40,40 Woodcutting
,158,Defeat Salarin the Twisted,Defeat Salarin the twisted in Yanille Agility Dungeon.,,,,1,Easy,5.5,AGILITY 67,"67 Agility Strike spells, ring of recoil, or dynamite(p) to damage him"
,159,Defeat a Fire Giant in Kandarin,Defeat a Fire Giant in Kandarin.,,,,1,Easy,11.7,,
,160,Get Stung By Bees,Get stung by bees at the Beehives.,,,,1,Easy,46.5,,
,161,Buy Jack's legendary rod,Buy Grandpa Jack's competition winning fishing rod.,,,,1,Easy,23.2,,
,162,Pick Wheat in Catherby,Pick some wheat in the field by the Catherby Farming patches.,,,,1,Easy,43.4,,
,163,Receive a gift from Arnold,Talk to Arnold Lydspor and receive a gift.,,,,1,Easy,15.3,,
,164,Visit the Tree Gnome Stronghold,Visit the Tree Gnome Stronghold.,,,,1,Easy,55,,
,165,Visit the Tree Gnome Village,Visit the Tree Gnome Village.,,,,1,Easy,49.7,,
,166,Brimstail Rune Essence Mine teleport,Have Brimstail teleport you to the Rune Essence Mine.,,,,1,Easy,34.8,,
,167,Drink a Poison Chalice,Drink a Poison Chalice.,,,,1,Easy,30.1,,
,168,Catch a Crimson Swift in the Feldip Hills,Catch a Crimson Swift in the Feldip Hills.,,,,1,Easy,17.9,,
,169,Catch a wild kebbit,Catch a wild kebbit.,,,,1,Easy,14.4,HUNTER 23,23 Hunter
,170,Complete the Gnome Stronghold Agility Course,Complete a lap of the Gnome Stronghold Agility Course.,,,,1,Easy,49.3,,
,171,Open 1 Grubby Chest,Open the grubby chest in the Forthos Dungeon. This task earns one Demonic Pact.,,,,1,Easy,2.6,THIEVING 57,57 Thieving
,172,Defeat a Barbarian in Kourend,Defeat a Barbarian in Kourend.,,,,1,Easy,29.2,,
,173,Defeat the Wintertodt 1 time,Help the pyromancers defeat the Wintertodt.,,,,1,Easy,7.4,FIREMAKING 50,50 Firemaking
,174,Equip a Protest Banner,Equip a Protest Banner.,,,,1,Easy,28.4,,
,175,Travel to Molch Island,Take one of the boats around Lake Molch to Molch Island.,,,,1,Easy,32.5,,
,176,Use the Mine cart transportation System,Use the Mine cart transportation System.,,,,1,Easy,46.9,,
,177,Bank at Land's End,Open your Bank using the Bank at Land's End.,,,,1,Easy,32.8,,
,178,Bank at Mount Quidamortem,Open your Bank using the Bank at Mount Quidamortem.,,,,1,Easy,34.7,,
,179,Drink a LizardKicker,Drink a LizardKicker.,,,,1,Easy,27.7,,
,180,Enter Level 3 of the Chasm of Fire,Enter the 3rd level of the Chasm of Fire in Shayzien.,,,,1,Easy,7.4,,
,181,Talk to the Voice of Yama,Talk to the Voice of Yama.,,,,1,Easy,34.3,,
,182,Repair a Fishing Crane,Repair a Fishing Crane.,,,,1,Easy,2.2,CONSTRUCTION 30; CRAFTING 30,"30 Construction,  30 Crafting"
,183,Turn in 1 Library Book,Find and turn in a book in the Arceuus Library.,,,,1,Easy,22.5,,
,184,Complete 1 Farming Contract,Complete a Farming Contract for Guildmaster Jane in the Farming Guild.,,,,1,Easy,3.3,FARMING 45,45 Farming
,185,Complete the Shayzien Basic Agility Course,Complete a lap of the Shayzien Basic Agility Course.,,,,1,Easy,30.3,,
,186,Defeat a Werewolf in Morytania,Defeat a werewolf in Morytania. This task earns one Demonic Pact.,,,,1,Easy,55.9,,
,187,Defeat a Snail,Defeat a snail within Morytania.,,,,1,Easy,23.5,,
,188,Open a Bronze Chest,Open a Bronze Chest from Shades of Mort'ton.,,,,1,Easy,NaN,FIREMAKING 5,5 Firemaking Completion of   Shades of Mort'ton
,189,Complete an Easy Temple Trek,Complete an Easy Temple Trek.,,,,1,Easy,17.6,,
,190,Visit Harmony Island,Visit Harmony Island.,,,,1,Easy,14.7,,
,191,Visit Mos Le'Harmless,Visit Mos Le'Harmless.,,,,1,Easy,17.6,,
,192,Visit Port Phasmatys,Visit Port Phasmatys.,,,,1,Easy,26.5,,
,193,Enter the Haunted mine,"Enter the haunted mine, if you dare...",,,,1,Easy,11.8,,
,194,Craft a Snelm,Craft any Snelm.,,,,1,Easy,23.5,CRAFTING 15,15 Crafting
,195,Defeat a Moss Giant in Tirannwn,Defeat a Moss Giant in Tirannwn.,,,,1,Easy,20.7,,
,196,Talk to Ilfeen in Tirannwn,Talk to Ilfeen in Tirannwn.,,,,1,Easy,26.8,,
,197,Use the Bank in Lletya,Use the Bank in Lletya.,,,,1,Easy,13.5,,
,198,Charter a Ship From Prifddinas to Port Tyras,Take a Charter Ship from Prifddinas to Port Tyras.,,,,1,Easy,20.7,,
,199,Cook a Rabbit in Tirannwn,Cook a Rabbit anywhere within Tirannwn.,,,,1,Easy,30,,
,200,Cross a Trap in Isafdar,Successfully cross any kind of trap in Isafdar.,,,,1,Easy,19,,
,201,Defeat a Chaos Dwarf in the Wilderness,Defeat a chaos dwarf in the Wilderness. This task earns one Demonic Pact.,,,,1,Easy,71.9,,
,202,Defeat a Fire Giant in the Wilderness,Defeat a Fire Giant in the Wilderness.,,,,1,Easy,28.8,,
,203,Defeat a Mammoth,Defeat a mammoth in the Wilderness.,,,,1,Easy,36.7,,
,204,Defeat a Zombie Pirate,Defeat a zombie pirate.,,,,1,Easy,34.5,,
,205,Equip any Team cape,Equip any team cape in the Wilderness.,,,,1,Easy,37.1,,
,206,Open a Looting Bag,Open a Looting Bag.,,,,1,Easy,66.2,,
,207,Use the Bank at the Mage Arena,Use the Bank at the Mage Arena.,,,,1,Easy,37.8,,
,208,Visit Ferox Enclave,Visit Ferox Enclave.,,,,1,Easy,80.9,,
,209,Enter the Wilderness God Wars Dungeon,Enter the Wilderness God Wars Dungeon.,,,,1,Easy,14,,
,210,Enter the Wilderness Resource Area,Enter the Wilderness Resource Area.,,,,1,Easy,21.6,,
,211,Order a Drink at The Old Nite,Order a drink at The Old Nite.,,,,1,Easy,28.1,,
,212,Sacrifice Some Bones at the Chaos Temple,Sacrifice some Bones at the Western Chaos Temple altar.,,,,1,Easy,64.4,,
,213,15 Collection log slots,Obtain 15 unique Collection Log slots.,,,,,,0.6,,
,214,30 Collection log slots,Obtain 30 unique Collection Log slots.,,,,,,0.1,,
,215,5 Collection log slots,Obtain 5 unique Collection Log slots.,,,,,,9,,
,216,50 Collection log slots,Obtain 50 unique Collection Log slots.,,,,,,NaN,,
,217,Bury Some Wyvern or Dragon Bones,Bury either some wyvern bones or some dragon bones.,,,,,,7.1,,
,218,Cast an Earth Blast Spell,Cast an Earth Blast spell.,,,,,,10.6,MAGIC 53,53 Magic
,219,Complete 1 Slayer Task,Complete 1 Slayer task.,,,,,,10.1,,
,220,Eat a piece of food that restores at least 6 hitpoints,Eat a piece of food that restores at least 6 hitpoints.,,,,,,43.5,,
,221,Get a Gem from a Gorak,Obtain a gem drop from a Gorak.,,,,,,0.2,,
,222,Reach a Prayer Bonus of 15,Equip enough item to reach a Prayer bonus of 15 or more.,,,,,,0.1,,
,223,Reach Combat Level 50,Reach Combat Level 50. This task earns one Demonic Pact.,,,,,,18.6,,
,224,Reach Combat Level 75,Reach Combat Level 75.,,,,,,1.1,,
,225,Sacrifice something to Death's Coffer,Sacrifice something to Death's Coffer.,,,,,,6.8,,
,226,Scrape some Blue Dragonhide,Scrape some blue dragonhide.,,,,,,0.2,,
,227,Slay 250 Creatures,Slay 250 creatures whilst on a Slayer Task.,,,,,,NaN,,
,228,Use the Protect from Melee Prayer,Use the Protect from Melee prayer. This task earns one Demonic Pact.,,,,,,8.6,PRAYER 43,43 Prayer
,229,Defeat 25 Superior slayer creatures,Defeat 25 Superior slayer monsters.,,,,,,NaN,SLAYER 5,5 Slayer Unlocked Bigger and Badder for 150 Slayer reward points or at least Tier 3 Relic unlocked
,230,Defeat 75 Superior slayer creatures,Defeat 75 Superior slayer creatures.,,,,,,NaN,SLAYER 5,5 Slayer Unlocked Bigger and Badder for 150 Slayer reward points or at least Tier 3 Relic unlocked
,231,Defeat a Superior slayer creature,Defeat a Superior slayer creature.,,,,,,0.2,SLAYER 5,5 Slayer Unlocked Bigger and Badder for 150 Slayer reward points or at least Tier 3 Relic unlocked
,232,Defeat 5 Bunnies,Defeat 5 Bunnies.,,,,,,33.1,,
,233,Defeat 5 creatures with a mace,Defeat 5 creatures with a mace as the final hit.,,,,,,28.6,,
,234,Defeat a Scorpion with a Mithril Spear,Defeat a Scorpion with a mithril spear as the final hit.,,,,,,15.2,ATTACK 20,20 Attack
,235,Defeat 3 chickens in 6 seconds,Defeat 3 chickens in 6 seconds.,,,,,,15.3,,
,236,Equip a Full Adamant Set,"Equip an Adamant Platebody, a Adamant Full Helm and either some Adamant Platelegs or an Adamant Plateskirt.",,,,,,8.9,DEFENCE 30,30 Defence
,237,Equip a Full Blue Dragonhide Set,"Equip a Blue Dragonhide Body, some Blue Dragonhide Chaps and some Blue Dragonhide Vambraces.",,,,,,0.1,RANGED 50; DEFENCE 40,"50 Ranged,  40 Defence"
,238,Equip a Full Bronze Set,"Equip a Bronze Platebody, a Bronze Full Helm and either some Bronze Platelegs or a Bronze Plateskirt.",,,,,,27.2,,
,239,Equip a Full Red Dragonhide Set,"Equip a Red Dragonhide Body, some Red Dragonhide Chaps and some Red Dragonhide Vambraces.",,,,,,NaN,RANGED 60; DEFENCE 40,"60 Ranged,  40 Defence"
,240,Equip a Mithril Weapon,Equip any Mithril weapon.,,,,,,27.6,ATTACK 20,20 Attack
,241,Equip a Piece of a Mystic Set,Equip any piece of any Mystic robe set.,,,,,,0.7,MAGIC 40; DEFENCE 20,"40 Magic,  20 Defence"
,242,Equip a piece of Beekeeper's Outfit,Equip a piece of Beekeeper's Outfit.,,,,,,5.2,,
,243,Equip a piece of Camouflage outfit,Equip a piece of Camouflage outfit.,,,,,,5.4,,
,244,Equip a piece of Mime Outfit,Equip a piece of Mime Outfit.,,,,,,2.3,,
,245,Equip a piece of Zombie Outfit,Equip a piece of Zombie Outfit.,,,,,,3.4,,
,246,Equip a Rune Weapon,Equip any Rune weapon.,,,,,,6,ATTACK 40,40 Attack
,247,Equip a Trimmed Amulet,Equip a Trimmed Amulet.,,,,,,0.2,,
,248,Equip a Willow Shield,Equip a Willow Shield.,,,,,,3.7,DEFENCE 30; FLETCHING 42; WOODCUTTING 30,"30 Defence,  42 Fletching 2 Willow logs ( 30  if chopping yourself)"
,249,Equip a Yew Shortbow,Equip a Yew Shortbow.,,,,,,0.4,RANGED 40,40 Ranged
,250,Equip an Adamant Weapon,Equip any Adamant weapon.,,,,,,14.1,ATTACK 30,30 Attack
,251,Equip an Elemental Battlestaff or Mystic Staff,Equip either an elemental battlestaff or an elemental mystic staff.,,,,,,0.1,MAGIC 30; ATTACK 30,"30 Magic,  30 Attack"
,252,Equip some Black armour,"Equip either a Black Platebody, some Black Platelegs or a Black Full Helm.",,,,,,1.2,DEFENCE 10,10 Defence
,253,Equip some Steel armour,"Equip either a Steel Platebody, some Steel Platelegs or a Steel Full Helm.",,,,,,27,DEFENCE 5,5 Defence
,254,Equip the Forestry Basket,Equip the Forestry Basket.,,,,,,NaN,WOODCUTTING 75; SMITHING 75,"75 Woodcutting,  75 Smithing"
,255,1 Easy Clue Scroll,Open a reward casket for completing an easy clue scroll.,,,,,,5.8,,
,256,1 Elite Clue Scroll,Open a reward casket for completing an elite clue scroll.,,,,,,NaN,,
,257,1 Hard Clue Scroll,Open a reward casket for completing an hard clue scroll.,,,,,,0.4,,
,258,1 Medium Clue Scroll,Open a reward casket for completing an medium clue scroll.,,,,,,2.1,,
